74	 206 	 49.33 	 49.33	 3700
75	 268 	 52.21 	 52.21	 3968
76	 376 	 56.42 	 56.42	 4344
77	 1152 	 70.46 	 70.46	 5496
78	 121 	 71.10 	 71.10	 5617
79	 392 	 75.11 	 75.11	 6009
80	 458 	 79.84 	 79.84	 6467
81	 274 	 82.21 	 82.21	 6741
82	 292 	 84.73 	 84.73	 7033
83	 87 	 84.76 	 84.76	 7120
84	 3127 	 120.55 	 120.55	 10247
85	 520 	 125.20 	 125.20	 10767
86	 81 	 124.69 	 124.69	 10848
87	 350 	 127.25 	 127.25	 11198
88	 579 	 132.33 	 132.33	 11777
89	 646 	 138.03 	 138.03	 12423
90	 1217 	 149.89 	 149.89	 13640
91	 1378 	 163.24 	 163.24	 15018
92	 2054 	 183.57 	 183.57	 17072
0	 39 	 39.00 	 39.00	 39
1	 29 	 34.00 	 34.00	 68
2	 48 	 38.67 	 38.67	 116
3	 34 	 37.50 	 37.50	 150
4	 17 	 33.40 	 33.40	 167
5	 14 	 30.17 	 30.17	 181
6	 24 	 29.29 	 29.29	 205
7	 27 	 29.00 	 29.00	 232
8	 17 	 27.67 	 27.67	 249
9	 18 	 26.70 	 26.70	 267
10	 47 	 28.55 	 28.55	 314
11	 44 	 29.83 	 29.83	 358
12	 30 	 29.85 	 29.85	 388
13	 13 	 28.64 	 28.64	 401
14	 10 	 27.40 	 27.40	 411
0	 13 	 13.00 	 13.00	 13
1	 21 	 17.00 	 17.00	 34
2	 12 	 15.33 	 15.33	 46
3	 25 	 17.75 	 17.75	 71
4	 13 	 16.80 	 16.80	 84
5	 9 	 15.50 	 15.50	 93
6	 26 	 17.00 	 17.00	 119
7	 11 	 16.25 	 16.25	 130
8	 56 	 20.67 	 20.67	 186
9	 45 	 23.10 	 23.10	 231
10	 12 	 22.09 	 22.09	 243
11	 22 	 22.08 	 22.08	 265
12	 20 	 21.92 	 21.92	 285
13	 16 	 21.50 	 21.50	 301
14	 21 	 21.47 	 21.47	 322
15	 21 	 21.44 	 21.44	 343
16	 13 	 20.94 	 20.94	 356
17	 14 	 20.56 	 20.56	 370
18	 10 	 20.00 	 20.00	 380
19	 12 	 19.60 	 19.60	 392
20	 18 	 19.52 	 19.52	 410
21	 42 	 20.55 	 20.55	 452
22	 30 	 20.96 	 20.96	 482
23	 20 	 20.92 	 20.92	 502
24	 39 	 21.64 	 21.64	 541
25	 13 	 21.31 	 21.31	 554
26	 17 	 21.15 	 21.15	 571
27	 28 	 21.39 	 21.39	 599
28	 23 	 21.45 	 21.45	 622
29	 14 	 21.20 	 21.20	 636
30	 11 	 20.87 	 20.87	 647
31	 29 	 21.12 	 21.12	 676
32	 12 	 20.85 	 20.85	 688
33	 18 	 20.76 	 20.76	 706
34	 11 	 20.49 	 20.49	 717
35	 24 	 20.58 	 20.58	 741
36	 20 	 20.57 	 20.57	 761
37	 14 	 20.39 	 20.39	 775
38	 10 	 20.13 	 20.13	 785
39	 17 	 20.05 	 20.05	 802
40	 17 	 19.98 	 19.98	 819
41	 21 	 20.00 	 20.00	 840
42	 13 	 19.84 	 19.84	 853
43	 34 	 20.16 	 20.16	 887
44	 20 	 20.16 	 20.16	 907
45	 19 	 20.13 	 20.13	 926
46	 53 	 20.83 	 20.83	 979
47	 10 	 20.60 	 20.60	 989
48	 10 	 20.39 	 20.39	 999
49	 29 	 20.56 	 20.56	 1028
50	 15 	 20.45 	 20.45	 1043
51	 14 	 20.33 	 20.33	 1057
52	 15 	 20.23 	 20.23	 1072
53	 9 	 20.02 	 20.02	 1081
54	 10 	 19.84 	 19.84	 1091
55	 18 	 19.80 	 19.80	 1109
56	 10 	 19.63 	 19.63	 1119
57	 9 	 19.45 	 19.45	 1128
58	 12 	 19.32 	 19.32	 1140
59	 10 	 19.17 	 19.17	 1150
60	 11 	 19.03 	 19.03	 1161
61	 12 	 18.92 	 18.92	 1173
62	 9 	 18.76 	 18.76	 1182
63	 10 	 18.62 	 18.62	 1192
64	 11 	 18.51 	 18.51	 1203
65	 10 	 18.38 	 18.38	 1213
66	 9 	 18.24 	 18.24	 1222
67	 9 	 18.10 	 18.10	 1231
68	 9 	 17.97 	 17.97	 1240
69	 10 	 17.86 	 17.86	 1250
70	 10 	 17.75 	 17.75	 1260
71	 9 	 17.62 	 17.62	 1269
72	 9 	 17.51 	 17.51	 1278
73	 8 	 17.38 	 17.38	 1286
74	 10 	 17.28 	 17.28	 1296
75	 11 	 17.20 	 17.20	 1307
76	 9 	 17.09 	 17.09	 1316
77	 10 	 17.00 	 17.00	 1326
78	 9 	 16.90 	 16.90	 1335
79	 9 	 16.80 	 16.80	 1344
80	 8 	 16.69 	 16.69	 1352
81	 9 	 16.60 	 16.60	 1361
82	 8 	 16.49 	 16.49	 1369
83	 10 	 16.42 	 16.42	 1379
84	 14 	 16.39 	 16.39	 1393
85	 15 	 16.37 	 16.37	 1408
86	 14 	 16.34 	 16.34	 1422
87	 34 	 16.55 	 16.55	 1456
88	 60 	 17.03 	 17.03	 1516
89	 39 	 17.28 	 17.28	 1555
90	 42 	 17.55 	 17.55	 1597
91	 36 	 17.75 	 17.75	 1633
92	 36 	 17.95 	 17.95	 1669
93	 45 	 18.23 	 18.23	 1714
94	 190 	 20.04 	 20.04	 1904
95	 74 	 20.60 	 20.60	 1978
96	 54 	 20.95 	 20.95	 2032
97	 68 	 21.43 	 21.43	 2100
98	 106 	 22.28 	 22.28	 2206
99	 64 	 22.70 	 22.70	 2270
100	 267 	 25.12 	 25.24	 2537
101	 39 	 25.25 	 25.42	 2576
102	 222 	 27.17 	 27.52	 2798
103	 75 	 27.62 	 28.02	 2873
104	 65 	 27.98 	 28.54	 2938
105	 91 	 28.58 	 29.36	 3029
106	 240 	 30.55 	 31.50	 3269
107	 70 	 30.92 	 32.09	 3339
108	 121 	 31.74 	 32.74	 3460
109	 116 	 32.51 	 33.45	 3576
110	 59 	 32.75 	 33.92	 3635
111	 119 	 33.52 	 34.89	 3754
112	 548 	 38.07 	 40.17	 4302
113	 150 	 39.05 	 41.51	 4452
114	 543 	 43.43 	 46.73	 4995
115	 76 	 43.72 	 47.28	 5071
116	 88 	 44.09 	 48.03	 5159
117	 121 	 44.75 	 49.10	 5280
118	 248 	 46.45 	 51.48	 5528
119	 124 	 47.10 	 52.60	 5652
120	 70 	 47.29 	 53.12	 5722
121	 215 	 48.66 	 54.85	 5937
122	 394 	 51.47 	 58.49	 6331
123	 255 	 53.11 	 60.84	 6586
124	 436 	 56.18 	 64.81	 7022
125	 705 	 61.33 	 71.73	 7727
126	 294 	 63.16 	 74.50	 8021
127	 874 	 69.49 	 82.96	 8895
128	 665 	 74.11 	 89.38	 9560
129	 288 	 75.75 	 92.12	 9848
130	 870 	 81.82 	 100.71	 10718
131	 854 	 87.67 	 108.96	 11572
132	 413 	 90.11 	 112.97	 11985
133	 467 	 92.93 	 117.46	 12452
134	 1038 	 99.93 	 127.73	 13490
135	 537 	 103.14 	 132.86	 14027
136	 430 	 105.53 	 136.96	 14457
137	 468 	 108.15 	 141.50	 14925
138	 619 	 111.83 	 147.59	 15544
139	 607 	 115.36 	 153.49	 16151
140	 513 	 118.18 	 158.45	 16664
141	 551 	 121.23 	 163.75	 17215
