0	 20 	 20.00 	 20.00	 20
1	 19 	 19.50 	 19.50	 39
2	 9 	 16.00 	 16.00	 48
3	 13 	 15.25 	 15.25	 61
4	 13 	 14.80 	 14.80	 74
5	 14 	 14.67 	 14.67	 88
6	 28 	 16.57 	 16.57	 116
7	 16 	 16.50 	 16.50	 132
8	 16 	 16.44 	 16.44	 148
9	 37 	 18.50 	 18.50	 185
10	 13 	 18.00 	 18.00	 198
11	 32 	 19.17 	 19.17	 230
12	 13 	 18.69 	 18.69	 243
13	 52 	 21.07 	 21.07	 295
14	 15 	 20.67 	 20.67	 310
15	 19 	 20.56 	 20.56	 329
16	 11 	 20.00 	 20.00	 340
17	 34 	 20.78 	 20.78	 374
18	 16 	 20.53 	 20.53	 390
19	 39 	 21.45 	 21.45	 429
20	 25 	 21.62 	 21.62	 454
21	 54 	 23.09 	 23.09	 508
22	 14 	 22.70 	 22.70	 522
23	 11 	 22.21 	 22.21	 533
24	 10 	 21.72 	 21.72	 543
25	 11 	 21.31 	 21.31	 554
26	 13 	 21.00 	 21.00	 567
27	 15 	 20.79 	 20.79	 582
28	 29 	 21.07 	 21.07	 611
29	 25 	 21.20 	 21.20	 636
30	 21 	 21.19 	 21.19	 657
31	 13 	 20.94 	 20.94	 670
32	 13 	 20.70 	 20.70	 683
33	 39 	 21.24 	 21.24	 722
34	 25 	 21.34 	 21.34	 747
35	 34 	 21.69 	 21.69	 781
36	 12 	 21.43 	 21.43	 793
37	 26 	 21.55 	 21.55	 819
38	 12 	 21.31 	 21.31	 831
